,temperature,gti_instant
2025-06-23 20:00:00,22.65,0.0
2025-06-23 21:00:00,21.01,0.0
2025-06-23 22:00:00,19.87,0.0
2025-06-24 00:00:00,17.95,0.0
2025-06-24 01:00:00,17.11,0.0
2025-06-24 02:00:00,16.42,0.0
2025-06-24 03:00:00,16.61,16.82
2025-06-24 04:00:00,18.42,90.58
2025-06-24 05:00:00,21.74,256.98
2025-06-24 06:00:00,25.6,464.18
2025-06-24 07:00:00,28.81,668.42
2025-06-24 08:00:00,31.4,832.51
2025-06-24 09:00:00,33.31,947.0
2025-06-24 10:00:00,34.6,994.97
2025-06-24 11:00:00,35.2,975.89
2025-06-24 13:00:00,35.35,744.85
2025-06-24 14:00:00,35.31,558.27
2025-06-24 15:00:00,34.93,347.67
2025-06-24 16:00:00,33.99,139.22
2025-06-24 17:00:00,32.18,23.47
2025-06-24 18:00:00,29.66,0.0
2025-06-24 19:00:00,27.02,0.0
2025-06-24 20:00:00,24.9,0.0
2025-06-24 21:00:00,23.63,0.0
2025-06-19 21:00:00,23.0,0.0
2025-06-23 19:00:00,25.4,0.0
2025-06-23 20:00:00,23.6,0.0
2025-06-23 21:00:00,21.88,0.0
2025-06-23 22:00:00,20.67,0.0
2025-06-23 23:00:00,19.61,0.0
2025-06-24 00:00:00,18.6,0.0
2025-06-24 01:00:00,17.69,0.0
2025-06-24 02:00:00,16.92,0.0
2025-06-24 03:00:00,17.04,16.82
2025-06-24 04:00:00,18.78,90.58
2025-06-24 05:00:00,22.02,256.98
2025-06-24 06:00:00,25.81,464.18
2025-06-24 07:00:00,28.94,668.42
2025-06-24 08:00:00,31.46,832.51
2025-06-24 09:00:00,33.3,947.0
2025-06-24 10:00:00,34.54,994.97
2025-06-24 17:00:00,32.18,23.46
2025-06-24 22:00:00,22.73,0.0
2025-06-24 23:00:00,21.84,0.0
2025-06-25 00:00:00,20.91,0.0
2025-06-25 01:00:00,20.0,0.0
2025-06-25 02:00:00,19.18,0.0
2025-06-25 03:00:00,19.11,17.7
2025-06-25 04:00:00,20.29,93.7
2025-06-25 05:00:00,22.59,244.56
2025-06-25 06:00:00,25.59,445.32
2025-06-25 07:00:00,28.09,643.58
2025-06-25 08:00:00,30.13,814.12
2025-06-25 09:00:00,31.74,934.45
2025-06-25 10:00:00,32.92,969.57
2025-06-25 11:00:00,33.82,950.66
2025-06-25 12:00:00,34.48,859.23
2025-06-25 13:00:00,34.86,715.44
2025-06-25 14:00:00,34.94,531.26
2025-06-25 15:00:00,34.61,326.17
2025-06-25 16:00:00,33.67,136.33
2025-06-25 17:00:00,31.92,19.39
2025-06-25 18:00:00,29.44,0.0
2025-06-25 19:00:00,27.05,0.0
2025-06-25 20:00:00,25.21,0.0
2025-06-25 21:00:00,23.89,0.0
